PLOTID,Geo id,Area ha,Country,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
88,a,0.2,CIV,0,0,0,76,100,0,48,0,-,0,0,0,0,-
89,8,0.2,CIV,81,0,0,100,81,100,0,0,-,0,0,0,0,-
90,b,0.2,CIV,45,0,0,100,100,77,100,0,-,0,0,0,91,-
91,d,0.2,CIV,0,0,0,73,0,0,100,23,-,0,0,0,0,-
92,b,0.2,CIV,46,0,0,100,100,100,100,0,-,54,0,0,0,-
93,7,0.2,CIV,54,0,0,100,82,77,100,0,-,0,0,0,0,-
94,4,0.2,CIV,100,0,18,100,100,100,100,45,-,0,0,0,41,-
95,4,0.2,CIV,22,0,0,100,74,4,56,0,-,0,0,0,9,-
96,9,0.2,CIV,100,0,0,100,100,100,100,100,-,0,0,0,43,-
97,a,0.2,CIV,13,0,0,100,13,48,0,0,-,0,0,0,4,-
98,2,0.2,CIV,0,0,0,0,78,0,0,0,-,0,0,0,0,-
99,d,0.2,CIV,56,0,22,100,83,100,100,78,-,0,0,0,83,-
100,f,0.2,CIV,100,0,0,100,78,100,70,100,-,0,0,0,100,-
101,9,0.2,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,True
102,d,0.2,CIV,100,0,40,100,100,100,100,60,-,0,0,0,0,True
103,2,0.2,CIV,4,0,0,100,4,4,96,0,-,0,0,0,0,-
104,1,0.2,CIV,100,0,0,100,100,100,96,100,-,0,0,0,75,-
105,4,0.2,CIV,8,0,0,100,75,0,25,25,-,0,0,0,0,-
106,f,0.2,CIV,50,0,0,100,71,50,66,50,-,0,0,0,41,-
107,9,0.2,CIV,100,0,0,100,100,100,100,8,-,0,0,0,0,-
108,9,0.2,CIV,12,0,0,100,100,92,8,0,-,0,0,0,100,True
109,8,0.2,CIV,100,0,16,100,68,100,100,68,-,0,0,0,16,-
110,2,0.2,CIV,100,0,0,100,100,100,100,52,-,0,0,0,84,True
111,8,0.2,CIV,0,0,0,100,16,44,100,0,-,0,0,0,0,-
112,3,0.2,CIV,100,0,0,100,64,100,100,0,-,0,0,0,8,True
113,3,0.2,CIV,100,0,0,100,100,100,100,12,-,0,0,0,24,-
114,0,0.2,CIV,0,0,0,100,12,80,56,40,-,0,0,0,24,-
115,6,0.2,CIV,40,0,0,100,100,100,100,36,-,0,0,0,100,-
116,b,0.3,CIV,0,0,0,100,50,81,100,0,-,0,0,0,0,-
117,1,0.3,CIV,54,0,0,100,100,16,92,0,-,0,0,0,0,-
118,c,0.3,CIV,100,0,26,100,100,100,59,63,-,0,0,0,26,-
119,0,0.3,CIV,100,0,0,100,100,100,100,85,-,0,0,0,0,-
120,c,0.3,CIV,41,0,0,56,100,74,100,0,-,0,0,0,0,-
121,0,0.3,CIV,70,0,0,100,85,70,67,0,-,0,0,0,100,-
122,2,0.3,CIV,89,0,0,100,59,89,89,52,-,0,0,0,74,-
123,6,0.3,CIV,100,0,0,100,100,100,100,0,-,0,0,0,0,True
124,6,0.3,CIV,100,0,0,100,100,100,100,63,-,0,0,0,0,True
125,2,0.3,CIV,100,0,19,100,100,100,100,81,-,0,0,0,0,-
126,b,0.3,CIV,100,0,0,100,100,100,100,11,-,0,0,0,0,-
127,f,0.3,CIV,100,0,0,100,100,100,100,100,-,0,0,0,0,-
128,2,0.3,CIV,7,0,0,100,96,7,11,4,-,0,0,0,0,-
129,8,0.3,CIV,18,0,7,100,50,57,100,71,-,0,0,0,0,-
130,4,0.3,CIV,43,0,0,100,79,64,100,0,-,0,0,0,0,-
131,3,0.3,CIV,100,0,0,100,100,100,75,0,-,0,0,0,0,-
132,9,0.3,CIV,7,0,0,100,71,7,61,0,-,0,0,0,0,-
133,4,0.3,CIV,18,0,0,100,64,21,86,7,-,0,0,0,100,-
134,d,0.3,CIV,0,0,0,100,29,47,11,18,-,0,0,0,0,-
135,2,0.3,CIV,3,0,3,100,100,100,100,38,-,0,0,0,10,True
136,3,0.3,CIV,10,0,3,100,100,10,100,41,-,0,0,0,48,-
137,a,0.3,CIV,33,0,0,100,100,83,100,13,-,0,0,0,0,-
138,b,0.3,CIV,100,0,0,100,100,100,100,100,-,0,0,0,63,-
139,9,0.3,CIV,33,0,0,100,34,100,100,90,-,0,0,0,0,True
140,8,0.3,CIV,0,0,0,90,20,100,97,3,-,0,0,0,100,-
141,f,0.3,CIV,47,0,0,100,63,53,67,0,-,0,0,0,0,-
142,9,0.3,CIV,20,0,0,100,73,17,100,0,-,0,0,0,0,True
143,b,0.3,CIV,70,0,0,100,77,70,100,10,-,0,0,0,0,-
144,6,0.3,CIV,64,0,0,100,68,100,100,97,-,0,0,0,61,-
145,0,0.3,CIV,0,0,0,0,90,0,0,0,-,0,0,0,0,-
146,0,0.3,CIV,100,0,0,100,100,100,94,13,-,0,0,0,0,-
147,9,0.3,CIV,61,0,0,100,61,81,19,0,-,0,0,0,0,-
148,e,0.3,CIV,68,0,0,100,23,77,100,68,-,0,0,0,97,True
149,9,0.3,CIV,100,0,51,100,100,100,100,49,-,0,0,0,0,True
150,7,0.3,CIV,19,0,0,100,87,13,100,0,-,0,0,0,0,-
151,7,0.3,CIV,100,0,29,100,100,100,100,71,-,0,0,0,0,-
152,e,0.3,CIV,100,0,29,100,100,100,100,45,-,0,0,0,100,-
153,6,0.3,CIV,13,0,0,68,42,13,36,0,-,0,0,0,0,-
154,3,0.3,CIV,29,0,0,100,90,48,23,20,-,0,0,0,7,-
155,7,0.3,CIV,72,0,0,100,100,56,100,19,-,0,0,0,72,-
156,6,0.3,CIV,100,0,0,100,50,100,100,0,-,0,0,0,0,True
157,6,0.3,CIV,0,0,0,100,53,0,6,0,-,0,0,0,0,-
158,e,0.3,CIV,28,0,0,100,94,66,22,10,-,0,0,0,100,True
159,8,0.3,CIV,56,0,0,100,100,100,100,56,-,0,0,0,100,-
160,a,0.3,CIV,100,0,0,100,100,100,100,97,-,0,0,0,6,-
161,9,0.3,CIV,97,0,0,100,97,61,100,0,-,0,0,0,0,-
162,d,0.3,CIV,100,0,0,100,100,100,100,42,-,0,0,0,18,-
163,c,0.3,CIV,33,0,6,100,36,76,82,70,-,0,0,0,18,-
164,3,0.3,CIV,12,0,0,100,97,12,77,0,-,0,0,0,0,-
165,5,0.3,CIV,0,0,0,100,32,0,94,0,-,0,0,0,0,-
166,1,0.3,CIV,53,0,0,100,53,97,91,0,-,0,0,0,0,True
167,b,0.3,CIV,100,0,0,100,82,100,88,0,-,0,0,0,0,True
168,9,0.3,CIV,62,0,29,100,100,85,100,71,-,0,0,0,88,-
169,b,0.3,CIV,20,0,0,100,100,80,100,0,-,0,0,0,100,-
170,1,0.3,CIV,0,0,0,100,0,77,100,74,-,0,0,0,0,-
171,7,0.3,CIV,100,0,0,100,100,100,100,91,-,0,0,0,45,-
172,a,0.3,CIV,49,0,0,100,100,49,26,0,-,0,0,0,74,-
173,9,0.3,CIV,14,0,0,100,46,6,100,29,-,0,0,0,71,-
174,1,0.3,CIV,0,0,0,100,51,71,100,0,-,83,0,0,0,-
175,4,0.4,CIV,42,0,0,100,100,39,97,6,-,0,0,0,0,-
176,5,0.4,CIV,81,0,0,100,100,81,100,86,-,0,0,0,97,-
177,c,0.4,CIV,100,0,0,100,75,100,100,11,-,0,0,0,0,True
178,1,0.4,CIV,0,0,0,0,100,0,0,0,-,0,0,0,0,-
179,6,0.4,CIV,0,0,0,89,100,0,14,0,-,0,0,0,0,-
180,f,0.4,CIV,100,0,3,100,100,100,100,97,-,0,0,0,0,True
181,3,0.4,CIV,89,0,0,100,89,100,100,51,-,0,0,0,0,True
182,c,0.4,CIV,38,0,0,100,70,81,62,0,-,0,0,0,0,-
183,4,0.4,CIV,45,0,13,63,82,81,71,40,-,0,0,0,0,-
184,7,0.4,CIV,45,0,0,100,66,84,8,5,-,0,0,0,0,-
