PLOTID,Geo id,Area ha,Country,system:index,EUFO 2020,GLAD Primary,TMF undist,JAXA FNF 2020,GFC TC 2020,GLAD LULC 2020,ESA TC 2020,TMF disturbed,RADD alerts,TMF plant,Oil palm Descals,Oil palm FDaP,Cocoa ETH,WDPA
127,7a8abf76f78e643dd4cc743dc44d2105548fd3bff66cd5c29d5aa98ae2db12bf,0.2,CIV,0000000000000000049e,100,0,12,100,100,100,100,88,-,0,0,0,0,-
128,41a5197874b35252df30b7fc1cf2a5c9b5b4717b472820532c52f12408f0713f,0.2,CIV,000000000000000005ed,94,0,100,100,94,100,56,0,-,0,0,0,19,-
129,b0026ce391da8a70b2946dce8980fa06d440852350e97caf29be2d8748625c3c,0.2,CIV,0000000000000000092f,100,0,56,100,100,100,100,44,-,0,0,0,0,-
130,9ff6a040006daa7735942e4ad62db73927ba8b71dd8a84d422233cf53971bdb4,0.2,CIV,000000000000000007bd,100,0,0,100,82,82,100,100,-,0,0,0,100,-
131,a9f5892bc622274f8b6e74b17c8da696d9fda233e00a7a23dbe1c587c6fa0ab9,0.2,CIV,000000000000000007c6,100,0,100,100,88,100,100,0,-,0,0,0,12,-
132,3368f83341353bf7be80c14fa2bb53bfa81bbbc9ec954f95d6d0a4d62d3c37e3,0.2,CIV,00000000000000000894,100,0,100,41,100,100,100,0,-,0,0,0,0,-
133,58ae2b6c6478760e51c52a7f20db538dac7a1dbfaff5c1743cca36f1fa737b26,0.2,CIV,00000000000000000d23,100,0,12,100,88,100,94,88,-,0,0,0,94,-
134,1287365968731ef1b5463bb77163327d680542ec8ba0c76d66b1e8ece9d6f982,0.2,CIV,000000000000000011a0,100,0,29,100,53,100,100,71,-,0,0,0,59,-
135,31a0a75d69e42e6c034f2a9b01a87535b32b82f9685e4c75f17d8c2dfa7aa300,0.2,CIV,000000000000000011ad,100,0,0,100,59,100,94,100,-,0,0,0,100,-
136,315f4d45f5d58e0d6e6f0a6bb8e2d7f02cd2d3357ac0f9ca58cbfa12e11d99ed,0.2,CIV,000000000000000011f4,100,0,12,100,82,100,100,88,-,0,0,0,0,-
137,0f44f506675f8f62d4c6faccd796505d474b963f72dceee0468e9639660e024a,0.2,CIV,00000000000000001240,53,0,0,100,59,82,100,0,-,0,0,0,0,-
138,22f4828f99d0a9296b9ef44e1b03ffc05b76ee9d4e5c9337bd0878469c5871e5,0.2,CIV,00000000000000000060,100,0,0,100,50,100,100,95,-,0,0,0,0,-
139,cab40b9a4814741bd49fe57a822b3f5162618114d0e79c119d59dfdbe882e35b,0.2,CIV,00000000000000000090,100,0,0,100,89,100,100,100,-,0,0,0,0,-
140,8ddc1a16f14ac7ebb9d1f986e16c1d54bf07f7949cb7068daf982a8c36f50221,0.2,CIV,000000000000000004f1,100,0,95,100,100,100,100,5,-,0,0,0,84,-
141,fe7924d04acb87191489f0b80153a5fecfa5f17a27f91d79ae292f8c845c4d89,0.2,CIV,0000000000000000093d,100,0,78,100,100,100,100,22,-,0,0,0,0,-
142,2fae04d52ce724c85626db02af819e676d405819839f1337ff7a0b2b5110b443,0.2,CIV,00000000000000000b8b,22,0,0,100,22,100,100,100,-,0,0,0,0,-
143,5af052b5ed770575a5158227832b04a143a4e9e54e672e4228fd755c49a3a3ac,0.2,CIV,00000000000000000cdb,100,0,11,100,100,100,100,89,-,0,0,0,100,-
144,7b8ea1671d6a65b9cd787669e1f34788cc2f69ba86eb0a45ec052ce8c0e46597,0.2,CIV,00000000000000001121,100,0,33,100,94,100,100,67,-,0,0,0,100,-
145,bbba31bfd75ccfaa2b500e74097255338d78db4bdc87ca7780285b3a7b6c15cd,0.2,CIV,000000000000000011ff,0,0,0,100,67,17,94,61,-,0,0,0,11,-
146,fba61dbe9526d102ea8ac4688a61febaf765040a2b59668956d7aab32cfa0900,0.2,CIV,000000000000000013f6,100,0,100,100,100,100,100,0,-,0,0,0,0,-
147,5d3809b6d7140f65d7c37b42b7f60233fa5eac2bd4dca9d747b2f2f8371db77a,0.2,CIV,00000000000000000156,0,0,0,0,0,0,0,0,-,0,0,0,0,-
